pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,avg_week1,avg_week2,avg_week3,avg_week4
A99010390,33,0,1,0.666666667,1,1,0.25,1,1,1.000000000,1.000000000,1.000000000,0.5,0.888888889,0.25,1
A10580707,34,1,1,1,0.75,1,0,1,1,1.000000000,0.000000000,1.000000000,1,0.916666667,0,1
A09935395,35,1,1,1,1,1,1,0,1,1.000000000,1.000000000,1.000000000,1,1,1,0.5
A10579241,36,1,1,0.666666667,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.888888889,1,1
A98106494,37,1,1,1,1,0,1,1,0,1.000000000,1.000000000,1.000000000,1,0.666666667,1,0.5
A10715362,38,1,1,1,1,0.666666667,0,1,1,1.000000000,1.000000000,1.000000000,1,0.888888889,0,1
A11322582,39,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11388334,40,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10550341,41,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10916635,42,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
