anid,remote,a1,a2,a3,a4,a5,a6
331,#84B6D7E5,0.76,0.78,0.16,,,
302,#8623B613,0.84,0.88,0.88,0.975,0.8,
216,#8568F31E,0.74,0.92,1,0.825,0.8,0.7
190,#8DAFE1C3,0.74,1,0.78,0.675,0.6,0.75
130,#9233CE6F,0.84,0.92,0.88,0.975,0.84,0.35
306,#85C80D40,0.8,0.92,0.74,0.725,0.76,0.85
329,#82FDC5BA,0.5,0.74,0.74,0.84,1,
175,#1C5B793E,0.96,1,0.94,0.9,0.86,0.7
108,#86229D39,1,1,0.98,1,0.86,0.9
188,#90626290,0.8,1,0.725,0.88,0.95,
106,#8E859299,0.96,1,0.98,0.925,1,1
124,#96BE072F,1,0.92,0,1,0.5,
227,#86353083,0.92,1,1,0.775,0.85,
243,#85DAEFB0,0.88,0.68,0.9,0.825,0.68,0.85
55,#84151B8A,0.98,0.98,0.86,0.925,0.95,
71,#85BDECD4,0.94,1,0.88,0.925,0.88,0.9
137,#8EFF1869,0.64,1,0.88,0.975,0.8,
158,#84727680,0.82,0.96,0.95,,,
129,#82E0A1C3,0.9,1,0.98,0.825,0.52,0.85
337,#84F92D50,0.76,0.72,0.45,0.16,,
213,#8F3BB80C,0.96,0.96,1,,,
162,#833C8F30,0.9,0.8,0.74,0.85,0.7,0.9
259,"['#0932C3F8', '#932C3F8']",0.92,1,0.82,0.975,0.96,0.95
28,#842FB51E,1,1,0.92,1,0.96,0.7
91,#85EAE689,0.92,0.98,0.96,0.775,0.9,
336,#8E14CF55,0.68,0.78,0.85,0.64,0.75,
178,#8EA6775F,0.94,0.68,0.92,0.7,0.74,
200,#838BB7BF,0.92,0.86,0.975,0.96,0.85,
69,#90C13968,1,1,0.88,0.76,,
273,#90706181,0.88,0.72,0.8,1,0.82,
311,#8AB3A39A,0.84,0.98,0.9,0.875,0.9,
203,#9A8B1607,0.82,0.92,0.96,0.925,0.44,0.6
92,#8E7954A3,0.74,0.84,0.65,0.9,0.7,
284,#8272A555,,,,,,
76,#906658AE,0.92,1,0.96,0.975,0.85,
110,#825BC811,0.92,0.88,0.74,1,0.74,0.8
165,#9A888B99,0.72,1,0.96,0.825,0.9,0.75
120,#983C3397,0.92,0.96,0.94,0.975,0.76,0.75
68,#8FC0A8E7,0.96,0.96,0.88,0.76,0.85,
232,#8ABCA395,0.96,0.98,0.98,0.975,0.96,0.9
182,#84110F9A,0.9,1,0.82,0.95,0.86,0.75
312,#8DAB7C5A,0.84,0.58,0.8,0.975,0.46,0.85
192,#82A84B61,0.84,1,1,0.9,1,0.85
299,#83B7E2D6,0.72,0.88,0.8,0.925,0.35,
309,#8E74A65C,0.82,0.88,0.7,1,0.88,0.85
27,#8DF9D7A3,1,1,0.82,0.925,0.76,0.9
16,#84855958,1,0.8,0.92,0.925,0.92,0.9
98,#84756E9F,0.88,1,0.96,1,0.96,
103,#8626C666,0.96,1,1,0.875,0.88,0.95
245,#860BC64B,1,0.76,0.9,0.8,0.95,
127,#97C9CF91,0.92,0.7,0.84,0.9,0.72,0.55
109,#8E6D3FDC,0.96,0.96,0.96,1,0.84,0.95
134,#82E36E0F,0.96,0.96,0.84,0.625,0.35,
22,#8E79A255,0.88,0.7,0.86,0.95,0.94,0.95
164,#8D7AE017,0.9,0.9,0.88,0.85,0.76,0.6
95,#81F480F5,0.88,1,1,1,0.62,0.95
276,#16E18473,0.92,1,0.88,0.875,0.92,0.85
211,#971151D7,0.9,0.78,0.96,0.775,1,1
282,#8E9DB1A2,1,1,0.8,0.95,0.88,0.8
81,#84A8F9D5,0.86,1,0.86,0.825,0.96,0.95
117,#9ACDE3B4,0.96,1,1,0.975,1,0.95
330,#86194BD4,0.5,1,0.84,0.64,0.9,
83,"['#0FA5319B', '#FA5319B']",0.96,1,0.84,0.7,0.86,0.55
151,#8FAF6141,0.96,1,0.86,0.725,0.62,0.75
88,#97CC0F54,1,0.74,0.92,1,0.86,0.95
89,#97D7D090,0.82,1,0.9,0.975,0.88,0.9
293,#84F7097A,0.82,1,0.88,0.9,0.82,0.9
141,#8ED6247C,0.98,1,0.96,0.975,0.98,0.9
29,#83C7E8AC,1,0.96,0.94,0.85,0.72,0.85
269,#97C4E9BA,0.76,0.92,0.9,0.875,0.58,0.7
74,#95FA2E41,1,1,1,1,0.98,0.95
288,#88815C55,0.82,0.98,0.86,0.675,0.8,0.85
118,#8E701EE0,0.84,1,0.96,0.7,0.86,0.6
80,#83E83C57,0.9,1,0.8,0.875,0.12,0.8
